video,Sentiment Score,C-Label,IP,S-Label
video50,0.85,Progress and Updates,Jiangsu,Highly Positive
video56,0.75,Audience Reaction,Henan,Positive
video47,0.925,Game Plot,Shanghai,Highly Positive
video80,0.85,Social Interaction,Henan,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video76,0.652,Game Experience,Beijing,Positive
video67,0.5,Game Plot,Guangdong,Neutral
video6,0.6,Social Interaction,Sichuan,Positive
video11,0.85,Social Interaction,Guangdong,Highly Positive
video7,0.75,Game Experience,Guangdong,Positive
video88,0.357,Game Experience,Jilin,Negative
video17,0.75,Social Interaction,Shaanxi,Positive
video59,0.75,Social Interaction,Guangdong,Positive
video80,0.85,Social Interaction,Shandong,Highly Positive
video45,0.0,Game Design,Hubei,Highly Negative
video80,0.85,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Audience Reaction,Shaanxi,Neutral
video80,0.85,Game Design,Zhejiang,Highly Positive
video47,0.5,Social Interaction,Unknown,Neutral
video60,0.925,Audience Reaction,Guangdong,Highly Positive
video17,0.95,Game Design,Ningxia,Highly Positive
video82,0.5,Social Interaction,Jilin,Neutral
video56,0.456,Social Interaction,Sichuan,Neutral
video59,0.85,Social Interaction,Inner Mongolia,Highly Positive
video17,0.5,Social Interaction,Shanxi,Neutral
video56,0.45,Social Interaction,Fujian,Neutral
video59,0.85,Audience Reaction,Shaanxi,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video59,0.85,Game Plot,Shaanxi,Highly Positive
video14,0.95,Audience Reaction,Henan,Highly Positive
video28,0.888,Social Interaction,Shandong,Highly Positive
video60,0.15,Game Experience,Liaoning,Highly Negative
video6,0.5,Social Interaction,Unknown,Neutral
video56,0.75,Game Experience,Guangdong,Positive
video14,0.5,Audience Reaction,Guizhou,Neutral
video59,0.5,Social Interaction,Fujian,Neutral
video6,0.5,Social Interaction,Tianjin,Neutral
video55,0.75,Game Design,Guangdong,Positive
video81,0.45,Game Experience,Shandong,Neutral
video60,0.0,Audience Feedback,Jiangsu,Highly Negative
video55,0.153,Game Plot,Henan,Highly Negative
video50,0.852,Game Plot,Anhui,Highly Positive
video88,0.75,Game Design,Jilin,Positive
video14,0.925,Social Interaction,Hebei,Highly Positive
video60,0.15,Game Experience,Hunan,Highly Negative
video29,0.5,Game Experience,Henan,Neutral
video6,0.95,Social Interaction,Qinghai,Highly Positive
video6,0.65,Social Interaction,Hunan,Positive
video80,0.5,Social Interaction,Sichuan,Neutral
video14,0.95,Audience Reaction,Gansu,Highly Positive
video6,0.456,Social Interaction,Yunnan,Neutral
video6,0.5,Social Interaction,Chongqing,Neutral
video5,0.95,Audience Reaction,Shanghai,Highly Positive
video43,0.35,Game Experience,Shanxi,Negative
video82,0.45,Audience Reaction,Beijing,Neutral
video6,0.15,Game Plot,Sichuan,Highly Negative
video88,0.456,Game Experience,Sichuan,Neutral
video1,0.45,Audience Reaction,Gansu,Neutral
video6,0.85,Game Plot,Liaoning,Highly Positive
video17,0.95,Audience Reaction,Hainan,Highly Positive
video80,0.5,Audience Reaction,Shanghai,Neutral
video89,0.75,Game Plot,Shaanxi,Positive
video41,0.925,Audience Reaction,Guangdong,Highly Positive
video50,0.85,Game Plot,Sichuan,Highly Positive
video56,0.753,Audience Reaction,Fujian,Positive
video26,0.652,Social Interaction,Guangdong,Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video40,0.925,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Jiangsu,Neutral
video46,0.5,Progress and Updates,Anhui,Neutral
video6,0.45,Social Interaction,Shaanxi,Neutral
video76,0.5,Game Requirement,Zhejiang,Neutral
video3,0.75,Game Plot,Gansu,Positive
video56,0.75,Game Experience,Guangdong,Positive
video76,0.5,Game Experience,Yunnan,Neutral
video5,0.451,Game Experience,Sichuan,Neutral
video63,0.85,Audience Reaction,Hubei,Highly Positive
video56,0.75,Audience Reaction,Guangdong,Positive
video59,0.925,Progress and Updates,Henan,Highly Positive
video80,0.654,Social Interaction,Guangdong,Positive
video80,0.5,Social Interaction,Guizhou,Neutral
video54,0.85,Social Interaction,Guangdong,Highly Positive
video3,0.5,Social Interaction,Fujian,Neutral
video50,0.85,Audience Reaction,Hebei,Highly Positive
video14,0.925,Social Interaction,Jilin,Highly Positive
video1,0.95,Social Interaction,Guizhou,Highly Positive
video50,0.65,Game Plot,Zhejiang,Positive
video46,0.925,Game Experience,Zhejiang,Highly Positive
video60,0.85,Game Experience,Chongqing,Highly Positive
video14,0.95,Audience Reaction,Hubei,Highly Positive
video28,0.25,Audience Reaction,Chongqing,Negative
video28,0.45,Game Requirement,Anhui,Neutral
video1,0.5,Social Interaction,Unknown,Neutral
video80,0.75,Social Interaction,Jiangsu,Positive
video6,0.95,Audience Reaction,Sichuan,Highly Positive
video56,0.5,Social Interaction,Zhejiang,Neutral
video46,0.5,Game Plot,Shanghai,Neutral
video82,0.5,Social Interaction,Guangdong,Neutral
video59,0.5,Audience Reaction,Hunan,Neutral
video14,0.925,Game Design,Shandong,Highly Positive
video2,0.456,Audience Reaction,Sichuan,Neutral
video80,0.85,Audience Reaction,Shanxi,Highly Positive
video35,0.85,Game Requirement,Henan,Highly Positive
video5,0.95,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Hubei,Neutral
video80,0.5,Social Interaction,Hubei,Neutral
video46,0.925,Game Plot,Shandong,Highly Positive
video76,0.5,Game Requirement,Guangdong,Neutral
video80,0.85,Social Interaction,Jilin,Highly Positive
video41,0.925,Social Interaction,Beijing,Highly Positive
video56,0.75,Audience Reaction,Qinghai,Positive
video64,0.85,Game Experience,Jilin,Highly Positive
video80,0.25,Game Experience,Unknown,Negative
video82,0.95,Social Interaction,Shandong,Highly Positive
video60,0.75,Game Plot,Hainan,Positive
video34,0.5,Social Interaction,Anhui,Neutral
video52,0.6,Game Experience,Zhejiang,Positive
video3,0.85,Game Design,Yunnan,Highly Positive
video79,0.25,Audience Feedback,Guangdong,Negative
video56,0.75,Audience Reaction,Tibet,Positive
video14,0.25,Audience Reaction,Sichuan,Negative
video80,0.75,Game Experience,Shanghai,Positive
video80,0.45,Game Experience,Henan,Neutral
video80,0.5,Audience Anticipation,Guangdong,Neutral
video14,0.85,Audience Reaction,Jiangxi,Highly Positive
video82,0.999,Social Interaction,Shanghai,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video56,0.5,Audience Reaction,Guangxi,Neutral
video15,0.5,Social Interaction,Hebei,Neutral
video6,0.5,Social Interaction,Shanghai,Neutral
video6,0.95,Audience Reaction,Hubei,Highly Positive
video80,0.95,Social Interaction,Fujian,Highly Positive
video88,0.75,Game Experience,Jiangsu,Positive
video62,0.95,Social Interaction,Hubei,Highly Positive
video56,0.456,Social Interaction,Guangdong,Neutral
video3,0.75,Audience Reaction,Sichuan,Positive
video17,0.5,Social Interaction,Anhui,Neutral
video54,0.5,Social Interaction,Hainan,Neutral
video46,0.85,Game Plot,Beijing,Highly Positive
video1,0.456,Audience Reaction,Shandong,Neutral
video56,0.152,Audience Reaction,Shandong,Highly Negative
video80,0.5,Audience Reaction,Chongqing,Neutral
video80,0.5,Social Interaction,Guangdong,Neutral
video59,0.95,Game Design,Jiangsu,Highly Positive
video59,0.85,Audience Reaction,Zhejiang,Highly Positive
video80,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.25,Game Plot,Beijing,Negative
video42,0.85,Social Interaction,Shanghai,Highly Positive
video59,0.85,Audience Reaction,Anhui,Highly Positive
video1,0.45,Social Interaction,Beijing,Neutral
video56,0.857,Audience Feedback,Hainan,Highly Positive
video42,0.15,Social Interaction,Hubei,Highly Negative
video6,0.5,Social Interaction,Guangdong,Neutral
video11,0.925,Audience Reaction,Jiangsu,Highly Positive
video6,0.75,Social Interaction,Sichuan,Positive
video47,0.5,Social Interaction,Beijing,Neutral
video36,0.45,Game Experience,Henan,Neutral
video6,0.75,Social Interaction,Sichuan,Positive
video49,0.85,Audience Reaction,Guangdong,Highly Positive
video56,0.75,Audience Reaction,Zhejiang,Positive
video80,0.985,Audience Reaction,Hebei,Highly Positive
video6,0.5,Social Interaction,Xinjiang,Neutral
video10,0.75,Game Experience,Guangdong,Positive
video50,0.925,Audience Reaction,Tianjin,Highly Positive
video1,0.925,Social Interaction,Shandong,Highly Positive
video81,0.75,Audience Reaction,Shandong,Positive
video81,0.5,Social Interaction,Guangdong,Neutral
video14,0.85,Social Interaction,Beijing,Highly Positive
video6,0.5,Social Interaction,Hubei,Neutral
video80,0.95,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Jiangsu,Neutral
video81,0.85,Audience Reaction,Xinjiang,Highly Positive
video57,0.75,Social Interaction,Tianjin,Positive
video67,0.852,Social Interaction,Sichuan,Highly Positive
video81,0.25,Social Interaction,Shandong,Negative
video59,0.925,Social Interaction,Henan,Highly Positive
video1,0.75,Game Design,Jiangsu,Positive
video59,0.25,Game Experience,Guangdong,Negative
video56,0.85,Game Design,Henan,Highly Positive
video49,0.35,Game Experience,Yunnan,Negative
video47,0.85,Social Interaction,Henan,Highly Positive
video49,0.85,Audience Reaction,Chongqing,Highly Positive
video5,0.95,Social Interaction,Qinghai,Highly Positive
video80,0.85,Audience Reaction,Fujian,Highly Positive
video82,0.5,Social Interaction,Shandong,Neutral
video80,0.75,Social Interaction,Jiangsu,Positive
video50,0.852,Game Plot,Sichuan,Highly Positive
video62,0.25,Game Plot,Shanxi,Negative
video59,0.65,Audience Reaction,Jiangsu,Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video67,0.412,Audience Reaction,Jiangsu,Neutral
video6,0.5,Social Interaction,Guangdong,Neutral
video47,0.85,Game Design,Taiwan,Highly Positive
video64,0.5,Game Plot,Jiangsu,Neutral
video80,0.85,Game Design,Jilin,Highly Positive
video1,0.654,Game Plot,Jiangxi,Positive
video59,0.852,Game Plot,Shanghai,Highly Positive
video38,0.95,Social Interaction,Guangdong,Highly Positive
video80,0.5,Social Interaction,Sichuan,Neutral
video76,0.652,Game Experience,Anhui,Positive
video73,0.925,Audience Reaction,Shanghai,Highly Positive
video6,0.456,Audience Reaction,Hebei,Neutral
video47,0.925,Audience Reaction,Yunnan,Highly Positive
video56,0.95,Audience Reaction,Henan,Highly Positive
video74,0.9,Audience Reaction,Guizhou,Highly Positive
video14,0.85,Social Interaction,Guangxi,Highly Positive
video80,0.65,Social Interaction,Jiangsu,Positive
video65,0.5,Social Interaction,Hunan,Neutral
video11,0.85,Social Interaction,Sichuan,Highly Positive
video64,0.5,Game Experience,Inner Mongolia,Neutral
video6,0.5,Social Interaction,Guangxi,Neutral
video6,0.412,Audience Reaction,Zhejiang,Neutral
video17,0.85,Audience Reaction,Guangdong,Highly Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video49,0.5,Social Interaction,Tianjin,Neutral
video4,0.925,Game Design,Jiangxi,Highly Positive
video15,0.5,Social Interaction,Fujian,Neutral
video1,0.85,Social Interaction,Jiangsu,Highly Positive
video6,0.5,Social Interaction,Jiangxi,Neutral
video28,0.75,Game Requirement,Inner Mongolia,Positive
video28,0.75,Audience Anticipation,Beijing,Positive
video6,0.75,Audience Reaction,Henan,Positive
video67,0.85,Social Interaction,Jiangsu,Highly Positive
video50,0.85,Audience Anticipation,Chongqing,Highly Positive
video54,0.75,Audience Anticipation,Guangxi,Positive
video88,0.85,Game Experience,Hunan,Highly Positive
video49,0.85,Game Plot,Guangxi,Highly Positive
video28,0.5,Information Share,Ningxia,Neutral
video64,0.85,Game Plot,Beijing,Highly Positive
video59,0.85,Game Plot,Jiangsu,Highly Positive
video80,0.999,Social Interaction,Guangdong,Highly Positive
video80,0.456,Social Interaction,Hebei,Neutral
video80,0.95,Social Interaction,Guangdong,Highly Positive
video81,0.5,Social Interaction,Sichuan,Neutral
video75,0.5,Game Plot,Guangxi,Neutral
video44,0.75,Social Interaction,Henan,Positive
video88,0.6,Audience Reaction,Shandong,Positive
video1,0.85,Game Plot,Liaoning,Highly Positive
video56,0.925,Audience Reaction,Tianjin,Highly Positive
video16,0.95,Social Interaction,Hebei,Highly Positive
video80,0.85,Social Interaction,Yunnan,Highly Positive
video59,0.95,Game Design,Jilin,Highly Positive
video6,0.5,Social Interaction,Hebei,Neutral
video81,0.852,Game Experience,Guangdong,Highly Positive
video57,0.5,Social Interaction,Hunan,Neutral
video6,0.35,Game Plot,Shandong,Negative
video64,0.852,Audience Reaction,Unknown,Highly Positive
video82,0.65,Audience Reaction,Fujian,Positive
video60,0.95,Social Interaction,Xinjiang,Highly Positive
video81,0.5,Audience Reaction,Shanghai,Neutral
video82,0.75,Game Experience,Hubei,Positive
video47,0.1,Audience Reaction,Qinghai,Highly Negative
video44,0.852,Game Plot,Zhejiang,Highly Positive
video56,0.85,Social Interaction,Unknown,Highly Positive
video1,0.25,Game Plot,Hebei,Negative
video80,0.357,Audience Reaction,Tianjin,Negative
video26,0.75,Game Design,Jiangxi,Positive
video15,0.75,Game Plot,Shandong,Positive
video28,0.25,Game Plot,Shanghai,Negative
video59,0.85,Audience Reaction,Guizhou,Highly Positive
video60,0.95,Audience Reaction,Hunan,Highly Positive
video36,0.5,Social Interaction,Guangxi,Neutral
video14,0.95,Social Interaction,Shaanxi,Highly Positive
video26,0.0,Social Interaction,Inner Mongolia,Highly Negative
video6,0.0,Social Interaction,Fujian,Highly Negative
video27,0.925,Audience Anticipation,Guangdong,Highly Positive
video76,0.5,Game Requirement,Guizhou,Neutral
video59,0.985,Audience Reaction,Hong Kong,Highly Positive
video82,0.5,Social Interaction,Jiangxi,Neutral
video80,0.85,Social Interaction,Chongqing,Highly Positive
video59,0.35,Audience Reaction,Shandong,Negative
video14,0.357,Game Experience,Xinjiang,Negative
video42,0.0,Social Interaction,Guangdong,Highly Negative
video14,0.5,Social Interaction,Guangxi,Neutral
video27,0.75,Information Share,Tianjin,Positive
video54,0.5,Social Interaction,Shandong,Neutral
video1,0.85,Game Plot,Sichuan,Highly Positive
video56,0.9,Social Interaction,Liaoning,Highly Positive
video56,0.852,Audience Reaction,Fujian,Highly Positive
video44,0.75,Audience Reaction,Shanxi,Positive
video64,0.753,Game Plot,Guangdong,Positive
video79,0.456,Game Experience,Zhejiang,Neutral
video1,0.5,Game Design,Hunan,Neutral
video89,0.85,Audience Reaction,Hebei,Highly Positive
video59,0.5,Social Interaction,Fujian,Neutral
video59,0.25,Audience Feedback,Hubei,Negative
video14,0.5,Social Interaction,Hubei,Neutral
video41,0.85,Game Design,Beijing,Highly Positive
video6,0.852,Game Experience,Shandong,Highly Positive
video80,0.5,Social Interaction,Guizhou,Neutral
video47,0.75,Game Plot,Guangdong,Positive
video80,0.75,Audience Reaction,Henan,Positive
video26,0.0,Social Interaction,Xinjiang,Highly Negative
video54,0.5,Social Interaction,Shandong,Neutral
video49,0.999,Social Interaction,Shanghai,Highly Positive
video82,0.9,Social Interaction,Shanxi,Highly Positive
video40,0.925,Audience Reaction,Tianjin,Highly Positive
video56,0.25,Audience Reaction,Sichuan,Negative
video80,0.451,Social Interaction,Guangdong,Neutral
video47,0.5,Game Design,Guangdong,Neutral
video50,0.456,Social Interaction,Sichuan,Neutral
video50,0.75,Social Interaction,Jiangsu,Positive
video47,0.65,Social Interaction,Hebei,Positive
video67,0.852,Game Plot,Tianjin,Highly Positive
video28,0.35,Audience Feedback,Inner Mongolia,Negative
video46,0.85,Game Plot,Liaoning,Highly Positive
video88,0.925,Audience Reaction,Liaoning,Highly Positive
video6,0.5,Audience Reaction,Unknown,Neutral
video21,0.95,Game Design,Zhejiang,Highly Positive
video54,0.5,Social Interaction,Beijing,Neutral
video76,0.65,Game Experience,Beijing,Positive
video5,0.75,Game Experience,Sichuan,Positive
video81,0.5,Social Interaction,Zhejiang,Neutral
video50,0.45,Audience Reaction,Guangdong,Neutral
video80,0.65,Audience Reaction,Liaoning,Positive
video14,0.25,Game Experience,Hunan,Negative
video56,0.5,Social Interaction,Chongqing,Neutral
video89,0.45,Audience Reaction,Unknown,Neutral
video59,0.85,Game Design,Jiangsu,Highly Positive
video59,0.65,Social Interaction,Tianjin,Positive
video80,0.85,Audience Reaction,Chongqing,Highly Positive
video6,0.5,Social Interaction,Guangxi,Neutral
video1,0.412,Audience Reaction,Tianjin,Neutral
video81,0.95,Audience Reaction,Beijing,Highly Positive
video41,0.5,Social Interaction,Shaanxi,Neutral
video15,0.85,Social Interaction,Jiangsu,Highly Positive
video86,0.75,Game Experience,Guangdong,Positive
video6,0.5,Audience Reaction,Shandong,Neutral
video76,0.5,Game Experience,Shanghai,Neutral
video11,0.5,Game Plot,Guangdong,Neutral
video6,0.5,Social Interaction,Sichuan,Neutral
video59,0.652,Game Experience,Tianjin,Positive
video80,0.45,Social Interaction,Hubei,Neutral
video56,0.75,Audience Reaction,Hainan,Positive
video76,0.45,Social Interaction,Jiangsu,Neutral
video26,0.357,Social Interaction,Zhejiang,Negative
video13,0.15,Progress and Updates,Hebei,Highly Negative
video82,0.925,Audience Reaction,Jiangxi,Highly Positive
video14,0.85,Game Plot,Shandong,Highly Positive
video59,0.5,Social Interaction,Sichuan,Neutral
video50,0.205,Audience Feedback,Shanghai,Negative
video80,0.5,Social Interaction,Xinjiang,Neutral
video41,0.65,Game Experience,Sichuan,Positive
video83,0.25,Audience Reaction,Henan,Negative
video60,0.75,Game Plot,Fujian,Positive
video17,0.75,Game Experience,Zhejiang,Positive
video6,0.75,Progress and Updates,Guangdong,Positive
video40,0.65,Audience Reaction,Guangxi,Positive
video81,0.925,Audience Reaction,Fujian,Highly Positive
video81,0.5,Game Design,Guangxi,Neutral
video6,0.55,Social Interaction,Sichuan,Neutral
video81,0.85,Game Experience,Beijing,Highly Positive
video55,0.5,Social Interaction,Hubei,Neutral
video64,0.753,Game Plot,Henan,Positive
video56,0.5,Audience Reaction,Tianjin,Neutral
video6,0.5,Social Interaction,Tianjin,Neutral
video59,0.45,Social Interaction,Shanghai,Neutral
video54,0.0,Social Interaction,Jiangsu,Highly Negative
video80,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.5,Game Design,Henan,Neutral
video6,0.75,Audience Reaction,Guangdong,Positive
video76,0.25,Game Design,Guangdong,Negative
video6,0.456,Social Interaction,Jiangsu,Neutral
video50,0.852,Game Plot,Tianjin,Highly Positive
video88,0.75,Audience Reaction,Liaoning,Positive
video1,0.45,Audience Reaction,Jiangsu,Neutral
video80,0.95,Audience Reaction,Shandong,Highly Positive
video14,0.852,Audience Reaction,Jiangsu,Highly Positive
video74,0.75,Game Plot,Gansu,Positive
video28,0.35,Audience Feedback,Unknown,Negative
video14,0.85,Social Interaction,Guizhou,Highly Positive
video59,0.95,Social Interaction,Shanxi,Highly Positive
video82,0.5,Social Interaction,Hebei,Neutral
video2,0.65,Social Interaction,Guizhou,Positive
video26,0.2,Social Interaction,Chongqing,Negative
video15,0.5,Social Interaction,Guangxi,Neutral
video64,0.85,Progress and Updates,Guangdong,Highly Positive
video25,0.65,Game Experience,Jilin,Positive
video8,0.925,Audience Reaction,Shanxi,Highly Positive
video17,0.925,Audience Reaction,Guangdong,Highly Positive
video9,0.5,Social Interaction,Guangdong,Neutral
video59,0.65,Audience Feedback,Gansu,Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video88,0.25,Audience Reaction,Guangdong,Negative
video88,0.75,Audience Reaction,Hunan,Positive
video80,0.456,Game Experience,Hebei,Neutral
video80,0.75,Social Interaction,Zhejiang,Positive
video42,0.5,Game Experience,Shaanxi,Neutral
video76,0.65,Game Experience,Guangdong,Positive
video1,0.456,Game Design,Guangxi,Neutral
video11,0.5,Social Interaction,Hainan,Neutral
video82,0.35,Audience Reaction,Jiangsu,Negative
video6,0.6,Social Interaction,Xinjiang,Positive
video41,0.654,Game Plot,Zhejiang,Positive
video50,0.5,Social Interaction,Guangdong,Neutral
video80,0.75,Game Experience,Zhejiang,Positive
video56,0.65,Game Plot,Henan,Positive
video59,0.75,Game Plot,Hebei,Positive
video67,0.925,Audience Reaction,Jiangsu,Highly Positive
video56,0.5,Social Interaction,Shanghai,Neutral
video88,0.85,Social Interaction,Liaoning,Highly Positive
video80,0.85,Social Interaction,Unknown,Highly Positive
video46,0.5,Audience Reaction,Jiangsu,Neutral
video5,0.456,Audience Reaction,Jiangsu,Neutral
video41,0.75,Game Plot,Beijing,Positive
video1,0.456,Progress and Updates,Jiangsu,Neutral
video6,0.15,Audience Reaction,Inner Mongolia,Highly Negative
video40,0.0,Progress and Updates,Yunnan,Highly Negative
video6,0.5,Social Interaction,Jiangsu,Neutral
video44,0.75,Audience Reaction,Unknown,Positive
video14,0.95,Audience Reaction,Zhejiang,Highly Positive
video60,0.75,Game Plot,Hainan,Positive
video1,0.85,Game Plot,Sichuan,Highly Positive
video80,0.45,Social Interaction,Liaoning,Neutral
video1,0.65,Game Plot,Hebei,Positive
video67,0.45,Game Experience,Jiangxi,Neutral
video88,0.852,Social Interaction,Beijing,Highly Positive
video79,0.5,Audience Feedback,Guangdong,Neutral
video28,0.5,Social Interaction,Jiangsu,Neutral
video67,0.652,Audience Feedback,Guangdong,Positive
video55,0.85,Game Plot,Sichuan,Highly Positive
video6,0.5,Social Interaction,Guizhou,Neutral
video5,0.35,Game Experience,Beijing,Negative
video59,0.25,Audience Feedback,Henan,Negative
video56,0.45,Social Interaction,Beijing,Neutral
video6,0.5,Social Interaction,Shandong,Neutral
video42,0.85,Audience Reaction,Tianjin,Highly Positive
video82,0.75,Social Interaction,Guizhou,Positive
video26,0.15,Audience Reaction,Guangdong,Highly Negative
video14,0.85,Social Interaction,Shaanxi,Highly Positive
video82,0.456,Game Experience,Guangdong,Neutral
video6,0.852,Audience Reaction,Shandong,Highly Positive
video80,0.95,Social Interaction,Guangdong,Highly Positive
video81,0.45,Social Interaction,Chongqing,Neutral
video41,0.5,Audience Anticipation,Xinjiang,Neutral
video14,0.5,Social Interaction,Tibet,Neutral
video56,0.45,Social Interaction,Liaoning,Neutral
video54,0.25,Social Interaction,Jiangsu,Negative
video21,0.45,Game Experience,Zhejiang,Neutral
video50,0.85,Audience Reaction,Zhejiang,Highly Positive
video59,0.925,Game Plot,Shandong,Highly Positive
video59,0.925,Audience Reaction,Jiangsu,Highly Positive
video14,0.5,Game Experience,Sichuan,Neutral
video6,0.5,Social Interaction,Liaoning,Neutral
video50,0.852,Game Plot,Jiangsu,Highly Positive
video76,0.75,Game Experience,Guangxi,Positive
video11,0.5,Social Interaction,Shandong,Neutral
video56,0.925,Audience Reaction,Hebei,Highly Positive
video6,0.45,Game Plot,Shandong,Neutral
video59,0.85,Game Plot,Fujian,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video35,0.45,Social Interaction,Guangdong,Neutral
video36,0.85,Progress and Updates,Sichuan,Highly Positive
video88,0.456,Game Experience,Sichuan,Neutral
video50,0.75,Game Design,Shaanxi,Positive
video78,0.75,Progress and Updates,Guangdong,Positive
video27,0.5,Social Interaction,Shandong,Neutral
video59,0.25,Game Design,Shaanxi,Negative
video5,0.35,Audience Feedback,Shanghai,Negative
video60,0.85,Game Design,Liaoning,Highly Positive
video81,0.85,Game Experience,Jiangsu,Highly Positive
video89,0.852,Game Experience,Chongqing,Highly Positive
video80,0.357,Audience Reaction,Guangdong,Negative
video59,0.5,Game Experience,Guangdong,Neutral
video22,0.925,Social Interaction,Jiangsu,Highly Positive
video14,0.357,Game Experience,Yunnan,Negative
video80,0.235,Game Plot,Anhui,Negative
video56,0.5,Audience Reaction,Jiangsu,Neutral
video6,0.5,Social Interaction,Guangdong,Neutral
video67,0.5,Game Plot,Chongqing,Neutral
video59,0.25,Game Plot,Sichuan,Negative
video56,0.5,Game Requirement,Tianjin,Neutral
video27,0.35,Audience Reaction,Guangdong,Negative
video6,0.35,Game Plot,Unknown,Negative
video52,0.5,Audience Reaction,Henan,Neutral
video6,0.5,Audience Reaction,Hunan,Neutral
video1,0.95,Audience Reaction,Fujian,Highly Positive
video17,0.45,Game Experience,Guangdong,Neutral
video41,0.5,Social Interaction,Guangdong,Neutral
video17,0.95,Social Interaction,Jiangsu,Highly Positive
video42,0.0,Social Interaction,Sichuan,Highly Negative
video15,0.95,Social Interaction,Anhui,Highly Positive
video46,0.153,Game Plot,Hebei,Highly Negative
video6,0.5,Game Requirement,Hebei,Neutral
video50,0.85,Audience Reaction,Yunnan,Highly Positive
video21,0.925,Audience Reaction,Guangdong,Highly Positive
video67,0.925,Progress and Updates,Hebei,Highly Positive
video82,0.5,Social Interaction,Beijing,Neutral
video3,0.925,Audience Reaction,Beijing,Highly Positive
video89,0.5,Game Experience,Beijing,Neutral
video13,0.85,Social Interaction,Zhejiang,Highly Positive
video49,0.75,Social Interaction,Guangdong,Positive
video80,0.45,Social Interaction,Jiangsu,Neutral
video23,0.925,Audience Reaction,Hainan,Highly Positive
video82,0.5,Social Interaction,Beijing,Neutral
video42,0.75,Audience Reaction,Hunan,Positive
video11,0.5,Social Interaction,Guangxi,Neutral
video14,0.85,Audience Reaction,Guangdong,Highly Positive
video82,0.45,Social Interaction,Guangdong,Neutral
video81,0.75,Social Interaction,Sichuan,Positive
video80,0.65,Audience Reaction,Guangdong,Positive
video44,0.65,Social Interaction,Sichuan,Positive
video6,0.985,Audience Reaction,Anhui,Highly Positive
video83,0.925,Audience Reaction,Chongqing,Highly Positive
video88,0.456,Audience Reaction,Guangdong,Neutral
video10,0.75,Social Interaction,Hainan,Positive
video46,0.5,Social Interaction,Guangdong,Neutral
video9,0.5,Game Experience,Beijing,Neutral
video6,0.5,Social Interaction,Guangxi,Neutral
video48,0.5,Game Plot,Zhejiang,Neutral
video41,0.6,Game Experience,Hubei,Positive
video60,0.85,Audience Anticipation,Tianjin,Highly Positive
video80,0.75,Game Plot,Guangdong,Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video59,0.999,Social Interaction,Zhejiang,Highly Positive
video27,0.752,Social Interaction,Guangdong,Positive
video40,0.85,Audience Anticipation,Guangxi,Highly Positive
video64,0.15,Game Requirement,Beijing,Highly Negative
video54,0.5,Social Interaction,Anhui,Neutral
video47,0.5,Social Interaction,Guangdong,Neutral
video2,0.95,Social Interaction,Guangdong,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video80,0.5,Game Experience,Sichuan,Neutral
video46,0.85,Game Plot,Hunan,Highly Positive
video59,0.35,Audience Reaction,Hunan,Negative
video81,0.75,Game Experience,Unknown,Positive
video82,0.95,Social Interaction,Shaanxi,Highly Positive
video9,0.85,Audience Feedback,Inner Mongolia,Highly Positive
video40,0.925,Game Experience,Zhejiang,Highly Positive
video26,0.15,Audience Reaction,Guangxi,Highly Negative
video64,0.925,Audience Reaction,Henan,Highly Positive
video11,0.5,Game Experience,Sichuan,Neutral
video59,0.456,Game Experience,Heilongjiang,Neutral
video60,0.95,Social Interaction,Shandong,Highly Positive
video1,0.925,Game Plot,Hubei,Highly Positive
video3,0.5,Social Interaction,Sichuan,Neutral
video6,0.45,Audience Reaction,Guangdong,Neutral
video76,0.5,Game Experience,Fujian,Neutral
video62,0.925,Audience Reaction,Shaanxi,Highly Positive
video15,0.75,Audience Reaction,Zhejiang,Positive
video6,0.75,Social Interaction,Tianjin,Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video89,0.85,Audience Reaction,Hubei,Highly Positive
video14,0.5,Social Interaction,Fujian,Neutral
video56,0.35,Social Interaction,Unknown,Negative
video6,0.5,Social Interaction,Yunnan,Neutral
video89,0.999,Social Interaction,Yunnan,Highly Positive
video56,0.0,Audience Reaction,Sichuan,Highly Negative
video6,0.85,Social Interaction,Jiangsu,Highly Positive
video67,0.753,Game Plot,Guangdong,Positive
video3,0.925,Social Interaction,Henan,Highly Positive
video80,0.5,Social Interaction,Sichuan,Neutral
